@Relation data

@Attribute state {KS,CA,NH,OR,TX,PR,NV,KY,OH,GU,NY,HI,NM,IN,MS,DC,NE,WV,MO,FL,ME,AR,CT,WI,NC,RI,OK,ID,GA,MN,PA,AK,MD,LA,MT,IL,TN,NJ,WA,MI,MA,AL,UT,VT,CO,SC,VI,VA,DE,AZ}
@Attribute spending REAL
@Attribute purchases REAL

@Data
MD,3195.85,148
GA,8241.99,36
CA,3450.95,50
MD,46886.11,257
NJ,28899.91,440
MD,10120.23,137
DC,6048.21,139
DC,45146.95,849
CA,2302.8,117
OH,11077.82,308
NV,17662.82,214
GA,6994.74,164
NJ,1712.52,71
NE,2700.21,47
NY,60946.96,650
CA,33821.34,525
LA,4147.29,41
OH,14730.29,247
MO,11943.43,249
MI,16285.73,177
PA,4545.16,48
GA,3169.86,87
MD,14541.98,235
IL,8821.98,308
TX,9951.73,214
OH,20651.09,477
TX,130719.53,357
CA,15850.74,487
KY,700.42,26
NC,16420.76,298
VA,1612.16,56
MD,109993.69,712
MD,8811.28,217
WV,12521.39,306
PA,10497.04,535
MD,7961.77,299
PR,3210.9,177
TX,11362.53,115
CO,249.63,20
VA,7628.6,99
GA,8995.3,431
NJ,13733.46,326
AZ,19635.82,222
HI,455,51
VA,2571.19,47
MD,92010.85,1435
MD,19857.69,139
MD,3499.15,88
WA,31669.97,414
UT,115311.28,137
ME,10354.63,293
MD,5407.13,173
MS,10694.9,271
KY,996.49,27
VA,15189.17,153
MD,8769.11999999999,131
MD,22798.44,317
NC,8224.19,300
CA,21262.82,338
AZ,707.64,7
IL,15902.29,268
NY,4960.12,134
AZ,1316.8,91
MD,29004.6,122
CA,7126.28000000001,192
NC,2861.1,43
MD,17810.02,142
AL,8578.64999999999,224
GA,14422.54,313
OH,23452.01,401
TX,27560.19,376
OH,51159.81,937
TX,15595.46,361
MD,10391.66,392
TX,37163.21,700
MD,6681.6,246
GA,94020.64,960
NC,22963.56,402
FL,9377.62,130
CA,34057.08,98
IL,23700.76,313
CA,59967.1399999999,486
NY,35836.25,876
MI,213.65,12
MD,8077.81,239
VA,8594.57,244
MD,35679.47,560
TN,1407.7,97
GA,24644.97,495
VA,10655.84,181
OH,14264.7,197
CA,9754.44,197
MD,5103.48,45
CA,8639.42999999999,333
MD,17119.39,492
MD,4239.19,217
IL,16533.55,435
KS,1882.08,152
NY,3949.1,223
PA,8424.39,212
CA,25858.83,351
TX,8857.01000000001,208
NC,13450.91,279
NY,3041.38,34
PA,5024.57,121
NV,2.06,1
SC,30950.25,342
IL,21135.28,402
CA,146111.73,353
MD,20772.15,554
CA,13955.01,336
MD,6251.18,12
MD,5256.48,263
MD,29952.15,464
MD,34633.61,380
CA,17150.59,554
GA,2631.56,82
AL,28812.07,560
NJ,8235.07999999999,283
NY,24468.32,329
GA,23274.56,923
MA,117278.71,828
PA,9182.55,219
WA,9053.39,276
IL,12227.59,173
PA,6679.76,126
FL,25437.34,451
OH,11866.54,316
TN,9584.96,82
MD,14494.14,400
NJ,1676.6,14
MD,14423.16,297
UT,28868.41,693
MD,8507.72,171
LA,843.98,34
WA,10316.03,79
VA,19820.85,380
WA,21634.95,395
MD,210.41,16
MD,11857.41,313
NC,60149.45,423
MD,4286.82,109
NC,6884.33,45
MD,3245.93,125
UT,513.93,55
CA,12354.98,306
LA,21068.0900000001,642
MA,8892.65,151
MD,139,3
HI,9083.11,164
MD,10011.89,188
TX,56106.42,193
FL,14895.94,532
CA,44574.82,379
GA,97691.6200000001,1639
ID,21612.73,454
NJ,1094.08,36
SC,18394.37,419
GA,12571.58,48
NY,1462.11,28
NC,1676.11,48
NC,5835.41,224
MD,15057.57,95
MD,19870.39,448
WA,34476.11,770
TX,45.6,12
CO,17622.18,288
KY,2443.57,19
MS,6233.99,145
TX,6414.7,130
GA,11811.21,178
GA,9914.13,171
SC,5603.9,126
NC,26347.98,417
CA,25348.84,486
